11000,ARRONDISSEMENT D'ANVERS,1TOT,total des parcelles non bâties (1TOT),108518,51279,9150,60429,602
11000,ARRONDISSEMENT D'ANVERS,1AE,- terres agricoles nda (1AE),19300,10009,434,10443,104
11000,ARRONDISSEMENT D'ANVERS,1BC,"- pâtures, prés (1BC)",24349,21103,772,21875,218
11000,ARRONDISSEMENT D'ANVERS,1DI,- jardins et parcs (1DI),12444,1542,655,2197,22
11000,ARRONDISSEMENT D'ANVERS,1F,- vergers (1F),662,271,5,276,3
11000,ARRONDISSEMENT D'ANVERS,1G,- bois (1G),12114,7975,1407,9382,93
11000,ARRONDISSEMENT D'ANVERS,1H,- terres vaines et vagues (1H),6965,3540,2573,6113,61
11000,ARRONDISSEMENT D'ANVERS,1J,"- loisirs, sports (1J)",603,418,158,577,6
11000,ARRONDISSEMENT D'ANVERS,1K,- eaux cadastrées (1K),725,319,422,740,7
11000,ARRONDISSEMENT D'ANVERS,1L,- chemins cadastrés (1L),5008,602,224,826,8
11000,ARRONDISSEMENT D'ANVERS,1MNOP,- autres (1MNOP),26348,5500,2500,8000,80
11000,ARRONDISSEMENT D'ANVERS,2TOT,total des parcelles bâties (2TOT),679899,25929,1607,27536,274
11000,ARRONDISSEMENT D'ANVERS,2A1A2,- appartements (2A1A2),376945,2062,35,2096,21
11000,ARRONDISSEMENT D'ANVERS,2B,- immeubles à appartements (2B),9122,293,3,296,3
11000,ARRONDISSEMENT D'ANVERS,2C,"- maisons, fermes (2C)",246741,15521,15,15536,155
11000,ARRONDISSEMENT D'ANVERS,2DEF,"- annexes, y compris les serres (2DEF)",17213,1876,30,1907,19
11000,ARRONDISSEMENT D'ANVERS,2G,- ateliers et bâtiments industriels (2G),3378,2168,37,2205,22
11000,ARRONDISSEMENT D'ANVERS,2H,- bâtiments de stockage (2H),4068,1158,44,1202,12
11000,ARRONDISSEMENT D'ANVERS,2I,"- banques, bureaux (2I)",1036,188,0,188,2
11000,ARRONDISSEMENT D'ANVERS,2JK,- bâtiments commerciaux (2JK),11391,695,15,710,7
11000,ARRONDISSEMENT D'ANVERS,2L,- bâtiments publics (2L),495,39,465,504,5
11000,ARRONDISSEMENT D'ANVERS,2M,- equipements d’utilité publique (2M),2757,179,320,499,5
11000,ARRONDISSEMENT D'ANVERS,2N,- bâtiments destinés à l’aide sociale et aux soins de santé (2N),654,370,77,448,4
11000,ARRONDISSEMENT D'ANVERS,2O,"- bâtiments destinés à l’enseignement, la recherche et la culture (2O)",1178,327,308,635,6
11000,ARRONDISSEMENT D'ANVERS,2P,- bâtiments destinés aux cultes (2P),544,44,34,78,1
11000,ARRONDISSEMENT D'ANVERS,2Q,"- bâtiments destinés aux loisirs, aux sports (2Q)",3966,862,122,985,10
11000,ARRONDISSEMENT D'ANVERS,2RST,- autres (2RST),411,147,100,247,2
11000,ARRONDISSEMENT D'ANVERS,3TOT,parcelles non-normalisées (3TOT),,,,,
11000,ARRONDISSEMENT D'ANVERS,4TOT,superficie cadastrée (4TOT),788417,77208,10756,87964,876
11000,ARRONDISSEMENT D'ANVERS,5TOT,superficie non-cadastrée (5TOT),,,,12461,124
11000,ARRONDISSEMENT D'ANVERS,6TOT,superficie totale (6TOT),,,,100426,1000
12000,ARRONDISSEMENT DE MALINES,1TOT,total des parcelles non bâties (1TOT),85370,30911,2465,33376,652
12000,ARRONDISSEMENT DE MALINES,1AE,- terres agricoles nda (1AE),37962,18316,280,18596,363
12000,ARRONDISSEMENT DE MALINES,1BC,"- pâtures, prés (1BC)",12147,6087,431,6518,127
12000,ARRONDISSEMENT DE MALINES,1DI,- jardins et parcs (1DI),7956,739,132,871,17
12000,ARRONDISSEMENT DE MALINES,1F,- vergers (1F),461,120,3,123,2
12000,ARRONDISSEMENT DE MALINES,1G,- bois (1G),7125,3291,446,3737,73
12000,ARRONDISSEMENT DE MALINES,1H,- terres vaines et vagues (1H),2246,555,483,1038,20
12000,ARRONDISSEMENT DE MALINES,1J,"- loisirs, sports (1J)",151,74,45,118,2
12000,ARRONDISSEMENT DE MALINES,1K,- eaux cadastrées (1K),655,232,418,650,13
12000,ARRONDISSEMENT DE MALINES,1L,- chemins cadastrés (1L),2151,201,52,253,5
12000,ARRONDISSEMENT DE MALINES,1MNOP,- autres (1MNOP),14516,1296,176,1472,29
12000,ARRONDISSEMENT DE MALINES,2TOT,total des parcelles bâties (2TOT),226845,12858,469,13327,260
12000,ARRONDISSEMENT DE MALINES,2A1A2,- appartements (2A1A2),88109,580,19,599,12
12000,ARRONDISSEMENT DE MALINES,2B,- immeubles à appartements (2B),1634,73,0,73,1
12000,ARRONDISSEMENT DE MALINES,2C,"- maisons, fermes (2C)",115744,8109,5,8113,159
12000,ARRONDISSEMENT DE MALINES,2DEF,"- annexes, y compris les serres (2DEF)",9086,1186,7,1193,23
12000,ARRONDISSEMENT DE MALINES,2G,- ateliers et bâtiments industriels (2G),1418,814,46,861,17
12000,ARRONDISSEMENT DE MALINES,2H,- bâtiments de stockage (2H),1850,842,24,866,17
12000,ARRONDISSEMENT DE MALINES,2I,"- banques, bureaux (2I)",450,99,1,100,2
12000,ARRONDISSEMENT DE MALINES,2JK,- bâtiments commerciaux (2JK),4049,408,13,421,8
12000,ARRONDISSEMENT DE MALINES,2L,- bâtiments publics (2L),141,9,64,73,1
12000,ARRONDISSEMENT DE MALINES,2M,- equipements d’utilité publique (2M),1748,52,99,152,3
12000,ARRONDISSEMENT DE MALINES,2N,- bâtiments destinés à l’aide sociale et aux soins de santé (2N),192,124,11,135,3
